hom_count,illicit_resources,pop_slums,gini,corruption,pko_troops,pko_police,total_deaths,year,country_id
676,0,NA,38.7,NA,0,0,446,2012,780
619,0,NA,NA,NA,0,0,446,2013,780
553,0,NA,NA,NA,0,0,446,2014,780
487,0,NA,NA,NA,0,0,446,2015,780
530,0,NA,39.3,NA,0,0,446,2016,780
486,0,NA,NA,NA,0,0,446,2017,780
514,0,NA,NA,NA,0,0,446,2018,780
913,1,97.5,NA,NA,121567,22307,159,2016,482
2793,1,NA,NA,NA,0,0,9806,2008,500
3233,1,NA,44.2,NA,0,0,9806,2009,500
3160,1,60.0999984741211,NA,NA,0,0,9806,2010,500
3753,1,NA,NA,NA,0,0,9806,2011,500
4066,1,NA,41,NA,0,0,9806,2012,500
3857,1,NA,NA,NA,0,0,9806,2013,500
4473,1,53.5999984741211,NA,NA,0,0,9806,2014,500
4482,1,47.5,42.8,NA,0,0,9806,2016,500
4735,1,NA,NA,NA,0,0,9806,2017,500
4497,1,48.2999992370605,NA,NA,0,0,9806,2018,500
1511,1,NA,NA,NA,105567,9682,1010,2007,625
1702,1,NA,NA,NA,204533,31712,1031,2008,625
651,1,NA,NA,0.008,0,0,312,1992,200
651,1,NA,NA,0.008,0,0,329,1992,200
651,1,NA,NA,0.008,0,0,346,1992,200
651,1,NA,NA,0.008,0,0,363,1992,200
108,1,NA,NA,0.008,0,0,312,1992,200
108,1,NA,NA,0.008,0,0,329,1992,200
108,1,NA,NA,0.008,0,0,346,1992,200
108,1,NA,NA,0.008,0,0,363,1992,200
110,1,NA,NA,0.008,0,0,312,1992,200
110,1,NA,NA,0.008,0,0,329,1992,200
110,1,NA,NA,0.008,0,0,346,1992,200
110,1,NA,NA,0.008,0,0,363,1992,200
869,1,NA,NA,0.008,0,0,312,1992,200
869,1,NA,NA,0.008,0,0,329,1992,200
869,1,NA,NA,0.008,0,0,346,1992,200
869,1,NA,NA,0.008,0,0,363,1992,200
670,1,NA,NA,0.008,0,0,378,1993,200
670,1,NA,NA,0.008,0,0,393,1993,200
670,1,NA,NA,0.008,0,0,408,1993,200
670,1,NA,NA,0.008,0,0,423,1993,200
101,1,NA,NA,0.008,0,0,378,1993,200
101,1,NA,NA,0.008,0,0,393,1993,200
